INCI Name,End Uses,Chemical Family,Labeling Claims,Certifications & Compliance,CAS Number,Grade,Benefit Claims,HLB Value,Ingredient Origin,Features,Chemical Name,Function,Synonyms
"Benzyl Alcohol, Caprylic/Capric Triglyceride, Citric Acid",,,,,,,,,,,,"Emulsifier (O/W), Emulsifier",
"Dehydroacetic Acid, Benzyl Alcohol",,,"Credo Clean Standard, Not Tested on Animals, Cruelty-Free","ECOCERT, EU Compliant, ISO 16128",,,"Preservation, Chemical Stability, Broad pH Stability",,Synthetic,,,"Preservative, Fungistatic Agent, Bacteriostatic Agent",
"Scenedesmus Rubescens Extract, Phenoxyethanol",,,"Alcohol-free, BSE-free, Porcine-free","IECIC (China), ISO 16128, Halal",,,"Skin Barrier, Rejuvenating, Regenerating",,"Natural Origin, Vegetable Origin",,,"UV Protector, Anti-Aging Agent",
C12-13 Alkyl Lactate,,,"Antioxidants-free, Pesticide-free, Preservative-free",,,,,11.0 - 11.0,,,,"Dispersant, Emollient, Moisturizing Agent, Wetting Agent, Viscosity Modifier, Re-Fatting Agent, Surfactant (Nonionic), Surfactant",
Potassium Cetyl Phosphate,,,"TSE-free, Non-GMO, PEG-free","Halal, EU Cosmetic Regulation 1223/2009 Compliant, IECIC (China)",,,,,Synthetic,,,Emulsifier,
Undecylenoyl Phenylalanine,,,"Clean at Sephora, Organic, Preservative-free","Organic Certified, NaTrue, COSMOS",,,"Melanin Reduction, Redness Reduction, Whitening",,,,,"Brightening Agent, Optical Brightener",
Dodecylhexadecanol,"Surfactants, Ointments, Detergents",Alcohols,,,72388-18-2,High Purity Grade,,,,"Good Solubility, Thermal Stability, Good Oxidation Property",2-Dodecyl-1-hexadecanol,"Re-Fatting Agent, Solubilizer, Coupling Agent, Chemical Intermediate, Slip Agent, Emollient, Conditioner, Solvent, Pour Point Depressant",
Octyldodecanol,,Alcohols,,,5333-42-6,,,,,,2-octyldodecan-1-ol,"Coupling Agent, Intermediate, Solvent","2-Octyl Dodecanol , 2-Octyldodecyl Alcohol , Octyl Dodecanol"
"Sodium Citrate, Saccharide Isomerate, Citric Acid",,,"Alcohol-free, Clean at Sephora, Porcine-free","Organic Certified, NaTrue, IECIC (China)",,,"Skin Microbiome, Long Lasting, Hydrating",,"Natural Origin, Vegetable Origin",,,"Moisturizing Agent, Protective Agent",
"Calcium Gluconate, Sodium Benzoate, Gluconolactone",,,"Credo Clean Standard, Vegan, Naturally Derived","NaTrue, ECOCERT, EU Compliant",,,"Preservation, Chemical Stability, Moisturizing",,"Natural Origin, Synthetic",,,"Preservative Booster, Preservative, Fungistatic Agent, Bacteriostatic Agent",
Di-C12-13 Alkyl Malate,,,"Clean at Sephora, Ulta Beauty's Conscious Beauty",,,,Emolliency,,"Synthetic, Petrochemical",,,"Sebum Regulator, Moisturizing Agent, Emollient, Bulking Agent",
"Sodium Benzoate, Phenoxyethanol, Hydrolyzed Rice Protein",,,"Non-GMO, BSE-free, TSE-free","EU Cosmetic Regulation 1223/2009 Compliant, REACH (Europe), IECIC (China)",,,"Anti-Aging, Emolliency, Skin Protection",,"Natural Origin, Vegetable Origin",,,"Restoring Agent, Protective Agent, Moisturizing Agent, Anti-Aging Agent",
Docosane,,Alkanes,,,629-97-0,,,,,,n-docosane,"Solvent, Intermediate",
Sodium Hydroxide,,,"Ulta Beauty's Conscious Beauty, Clean at Sephora, Credo Clean Standard",,1310-73-2,,,,,,,"Solubilizer, Chemical Intermediate, Buffering Agent","Caustic Soda , NaOH , Soda Lye , Sodium Hydrate , White Caustic"
"Sodium Benzoate, Superoxide Dismutase, Potassium Sorbate",,,"Paraben-free, BSE-free, Natural","EU Cosmetic Regulation 1223/2009 Compliant, REACH (Europe), California Proposition 65",,,"Collagen Boosting, Promotes Youthful Skin, Antioxidant Properties",,"Natural Origin, Biotechnology, Vegetable Origin",,,Anti-Puffing Agent,
